2080	10	14	26	37	46	54	63	75	92	120	138	232
2090	11	15	28	41	52	62	73	88	111	147	171	297
2100	10	15	30	45	58	70	83	102	132	177	209	370

JOHNSTON ISLAND	[598]	16.74	-169.53
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.20	 0.33	 1.02	 4.58	 11.89	 23.04	 39.51	 64.60	 89.30	 98.18	 99.35	 99.94
rcp45 %ile	 0.34	 0.57	 3.89	 14.97	 33.32	 53.41	 73.49	 90.17	 97.60	 99.40	 99.62	 99.96
rcp26 %ile	 0.82	 1.95	 9.92	 30.50	 54.63	 73.50	 87.16	 95.24	 98.29	 99.52	 99.66	 99.96

2010	-3	-3	-0	1	3	4	5	6	8	10	11	14
2020	-1	0	3	5	7	9	10	12	14	17	18	22
2030	3	4	7	10	13	15	17	19	22	26	27	31
2040	6	8	11	15	18	21	23	27	31	37	40	51
2050	8	10	15	21	25	28	31	36	42	51	56	84
2060	10	13	20	26	31	36	40	47	56	69	78	126
2070	12	15	23	31	38	43	50	58	71	91	105	175
2080	12	16	26	36	44	51	59	71	88	115	135	232
2090	14	18	29	40	51	59	70	84	106	142	167	296
2100	12	17	31	44	57	67	80	98	127	173	204	367

NAWILIWILI BAY	[756]	21.95	-159.35
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.10	 0.21	 0.80	 3.80	 10.51	 21.86	 38.85	 64.70	 89.52	 98.27	 99.35	 99.94
rcp45 %ile	 0.38	 0.62	 4.16	 16.10	 35.29	 55.60	 75.14	 90.44	 97.60	 99.39	 99.61	 99.96
rcp26 %ile	 0.95	 1.97	 9.89	 30.10	 54.05	 72.52	 86.16	 94.82	 98.09	 99.50	 99.64	 99.96

2010	-1	-0	1	2	3	4	5	6	7	8	9	10
2020	1	2	4	6	7	9	10	11	13	16	16	19
2030	4	5	8	10	13	14	16	18	21	24	25	28
2040	7	8	12	15	18	20	22	25	29	35	37	50
2050	8	11	15	20	24	27	30	34	41	49	55	83
2060	11	13	19	25	30	34	39	45	54	67	77	123
2070	12	15	22	30	36	42	48	56	68	88	102	171
2080	14	16	26	35	43	49	57	68	85	112	131	228
2090	14	18	28	39	49	57	67	80	102	139	163	293
2100	13	17	30	43	55	65	77	95	123	169	200	366

MOKUOLOE ISLAND	[823]	21.43	-157.79
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.09	 0.20	 0.80	 3.67	 10.55	 21.63	 38.59	 64.64	 89.49	 98.24	 99.35	 99.94
rcp45 %ile	 0.32	 0.53	 3.91	 15.75	 34.87	 55.50	 75.13	 90.50	 97.59	 99.39	 99.61	 99.96
rcp26 %ile	 0.95	 2.09	 10.08	 30.60	 54.43	 72.90	 86.40	 94.81	 98.10	 99.50	 99.64	 99.96

2010	-0	0	1	3	3	4	5	6	7	8	9	10
2020	2	3	4	6	8	9	10	11	13	15	16	18
2030	5	6	9	11	13	15	16	18	21	24	25	29
2040	8	9	13	16	19	21	23	26	30	35	38	51
2050	10	12	16	21	25	28	31	35	41	50	55	84
2060	12	15	21	26	31	35	40	45	54	68	77	124
2070	14	17	24	32	38	43	49	57	69	89	102	173
2080	16	19	27	36	44	51	58	69	86	114	132	230
2090	16	20	30	41	51	59	68	82	104	141	164	295
2100	15	20	32	45	57	67	79	96	125	171	201	369

FRENCH FRIGATE SHOALS	[1372]	23.87	-166.28
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.09	 0.19	 0.77	 3.85	 10.82	 22.17	 39.07	 64.70	 89.42	 98.20	 99.35	 99.94
rcp45 %ile	 0.35	 0.63	 4.19	 16.01	 35.31	 55.30	 74.76	 90.40	 97.60	 99.40	 99.62	 99.96
rcp26 %ile	 0.95	 2.05	 9.94	 30.10	 53.69	 72.58	 86.31	 94.92	 98.13	 99.50	 99.65	 99.96

2010	-2	-2	0	2	3	4	5	6	8	10	11	13
2020	-2	-1	2	5	7	9	10	12	15	18	19	23
2030	2	3	6	10	12	14	16	19	22	25	27	31
2040	5	7	11	15	18	20	23	26	31	37	40	52
2050	7	9	14	20	24	27	31	36	42	51	56	84
2060	9	11	18	25	30	35	39	46	55	68	77	125
2070	10	13	21	29	36	42	49	57	70	89	103	173
2080	10	14	24	34	43	50	58	69	87	114	133	229
2090	11	15	26	38	49	58	68	82	105	140	165	296
2100	11	16	29	43	55	66	79	96	125	171	202	369

KAWAIHAE	[2128]	20.04	-155.83
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.11	 0.26	 0.95	 4.04	 11.21	 22.13	 38.93	 64.60	 89.34	 98.22	 99.35	 99.94
rcp45 %ile	 0.30	 0.50	 3.83	 15.43	 34.30	 55.00	 74.78	 90.46	 97.60	 99.39	 99.61	 99.96
rcp26 %ile	 0.90	 2.11	 10.07	 30.50	 54.30	 72.82	 86.41	 95.00	 98.13	 99.50	 99.64	 99.96

2010	1	1	2	3	4	5	6	6	8	9	9	11
2020	4	5	7	8	10	11	12	13	15	17	17	19
2030	8	9	12	14	16	17	19	21	23	26	28	31
2040	11	13	16	20	22	25	27	30	34	39	42	54
2050	14	16	21	26	29	33	36	40	46	55	60	88
2060	17	20	26	32	37	41	45	51	60	74	83	130
2070	20	23	30	38	44	49	55	63	76	96	109	180
2080	22	26	35	44	51	58	66	76	94	121	139	237
2090	24	28	38	49	59	67	77	90	112	149	172	303
2100	23	28	41	54	66	76	88	105	134	179	210	377

Aleutian Islands

DUTCH HARBOR	[390]	53.90	-166.53
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.09	 0.22	 1.20	 5.12	 14.27	 27.10	 44.39	 68.60	 90.83	 98.49	 99.44	 99.94
rcp45 %ile	 0.44	 0.83	 4.76	 17.20	 35.87	 54.47	 72.81	 88.80	 96.74	 99.30	 99.59	 99.96
rcp26 %ile	 0.85	 1.75	 8.92	 27.63	 49.73	 68.49	 82.97	 92.57	 97.58	 99.37	 99.61	 99.95

2010	-8	-8	-6	-5	-4	-3	-3	-2	-0	1	2	3
2020	-12	-11	-10	-8	-7	-6	-5	-4	-2	-0	0	2
2030	-16	-15	-13	-11	-9	-8	-6	-5	-2	0	1	5
2040	-21	-20	-17	-14	-11	-9	-7	-4	-1	4	6	20
2050	-27	-25	-20	-16	-12	-10	-7	-3	2	11	16	45
2060	-31	-29	-24	-18	-14	-10	-6	-1	7	20	29	77
2070	-37	-34	-28	-21	-15	-10	-5	2	13	32	45	118
2080	-42	-39	-31	-23	-16	-11	-4	5	20	47	65	165
2090	-47	-44	-35	-26	-17	-10	-2	9	29	64	88	220
2100	-55	-52	-40	-29	-18	-9	1	15	40	84	114	280

ADAK  SWEEPER COVE	[487]	51.86	-176.63
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.10	 0.27	 1.05	 5.15	 13.93	 26.79	 44.02	 68.20	 90.43	 98.43	 99.41	 99.94
rcp45 %ile	 0.40	 0.79	 4.79	 17.10	 35.76	 54.94	 73.32	 89.10	 97.02	 99.33	 99.60	 99.96
rcp26 %ile	 0.80	 1.83	 9.03	 27.75	 50.14	 68.30	 82.79	 92.79	 97.68	 99.39	 99.61	 99.96

2010	-7	-6	-4	-2	-1	0	1	2	4	6	7	10
2020	-9	-8	-5	-3	-1	1	2	4	6	9	10	14
2030	-10	-9	-6	-2	0	2	4	6	10	13	15	18
2040	-13	-11	-7	-2	1	4	7	10	15	20	23	32
2050	-14	-11	-6	-1	3	6	9	14	20	28	33	58
2060	-15	-12	-6	-0	5	9	13	19	27	40	49	93
2070	-17	-14	-7	1	7	12	17	25	37	56	69	137
2080	-20	-16	-8	1	9	15	22	33	49	76	93	188
2090	-23	-19	-8	2	11	19	28	40	61	96	119	244
2100	-27	-22	-10	3	13	23	34	49	74	119	149	309

MASSACRE BAY	[491]	52.83	173.20
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.16	 0.31	 1.73	 7.33	 17.81	 31.98	 49.22	 71.10	 90.73	 98.43	 99.39	 99.94
rcp45 %ile	 0.47	 0.92	 5.14	 18.10	 36.54	 54.40	 71.39	 87.50	 96.75	 99.32	 99.60	 99.96
rcp26 %ile	 0.75	 1.57	 7.98	 24.59	 45.48	 63.60	 79.51	 91.38	 97.66	 99.39	 99.61	 99.96

2010	-6	-5	-2	-0	2	3	4	6	8	11	12	15
2020	-7	-6	-2	1	4	6	8	11	14	18	19	23
2030	-9	-7	-2	3	7	10	13	17	21	27	29	35
2040	-10	-8	-1	5	10	14	18	23	30	37	40	50
2050	-11	-7	0	8	14	19	24	30	38	47	53	72
2060	-11	-8	2	11	18	24	30	38	49	62	70	109
2070	-12	-8	3	14	23	30	37	47	61	79	91	155
2080	-14	-9	4	17	27	36	45	57	75	101	117	207
2090	-16	-10	5	20	32	42	53	67	90	123	145	266
2100	-18	-12	5	23	37	49	62	79	105	147	177	334

UNALASKA	[757]	53.88	-166.54
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.10	 0.22	 1.16	 5.13	 14.25	 27.03	 44.31	 68.59	 90.83	 98.50	 99.44	 99.94
rcp45 %ile	 0.45	 0.83	 4.79	 17.20	 35.92	 54.50	 72.79	 88.85	 96.73	 99.30	 99.59	 99.96
rcp26 %ile	 0.85	 1.75	 8.93	 27.70	 49.68	 68.45	 83.03	 92.60	 97.59	 99.37	 99.61	 99.95

2010	-8	-8	-6	-5	-4	-3	-3	-2	-0	1	2	3
2020	-12	-11	-9	-8	-7	-6	-5	-4	-2	-0	0	2
2030	-16	-15	-13	-11	-9	-8	-6	-5	-2	0	1	5
2040	-21	-20	-17	-14	-11	-9	-7	-4	-1	4	6	20
2050	-27	-25	-20	-16	-12	-10	-7	-3	2	11	16	45
2060	-31	-29	-23	-18	-14	-10	-6	-1	7	20	29	77
2070	-37	-34	-28	-21	-15	-10	-5	2	13	32	45	117
2080	-42	-39	-31	-23	-16	-11	-4	5	20	47	65	165
2090	-47	-44	-35	-26	-17	-10	-2	9	29	64	87	220
2100	-55	-51	-40	-29	-18	-9	1	15	40	84	114	279

Alaska

KETCHIKAN	[225]	55.33	-131.62
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.05	 0.09	 0.55	 3.69	 12.02	 25.53	 43.97	 69.20	 91.41	 98.64	 99.44	 99.94
rcp45 %ile	 0.39	 0.70	 4.69	 17.67	 36.97	 56.11	 73.73	 88.92	 96.54	 99.24	 99.60	 99.96
rcp26 %ile	 0.95	 2.09	 9.63	 28.70	 50.87	 68.30	 82.46	 91.83	 97.19	 99.29	 99.60	 99.95

2010	-4	-3	-2	-1	0	1	1	2	4	5	5	7
2020	-4	-3	-1	0	1	2	3	4	6	7	8	10
2030	-3	-2	-0	2	3	4	5	7	8	11	12	16
2040	-3	-1	1	3	5	7	8	10	13	17	20	35
2050	-3	-2	2	5	8	10	12	15	20	27	33	62
2060	-2	-1	3	7	11	13	16	20	27	39	49	96
2070	-3	-1	4	9	13	17	21	26	36	55	69	140
2080	-5	-2	4	11	16	21	26	34	47	73	92	189
2090	-6	-4	4	12	19	25	31	41	58	92	117	245
2100	-10	-6	3	13	22	30	38	50	72	115	146	308

SEWARD	[266]	60.12	-149.43
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.52	 0.95	 4.21	 13.22	 25.91	 40.20	 56.46	 75.69	 92.68	 98.81	 99.52	 99.94
rcp45 %ile	 0.38	 0.74	 4.29	 15.47	 32.40	 50.24	 67.75	 85.39	 95.90	 99.18	 99.58	 99.96
rcp26 %ile	 0.49	 1.15	 6.39	 21.30	 41.50	 59.54	 75.93	 89.00	 96.57	 99.19	 99.58	 99.95

2010	-8	-8	-6	-4	-3	-2	-1	-0	1	3	4	6
2020	-13	-12	-10	-7	-6	-5	-3	-2	1	3	4	7
2030	-17	-16	-13	-10	-8	-6	-5	-3	0	3	5	9
2040	-22	-20	-17	-13	-10	-8	-6	-3	1	5	8	22
2050	-27	-25	-20	-16	-12	-9	-6	-2	3	11	16	46
2060	-32	-29	-24	-18	-14	-10	-6	-1	6	18	27	75
2070	-37	-34	-28	-21	-16	-11	-6	-0	10	29	42	114
2080	-43	-39	-32	-24	-17	-12	-6	2	16	41	59	159
2090	-49	-45	-36	-27	-19	-13	-6	4	22	56	80	210
2100	-57	-52	-41	-30	-20	-12	-3	9	32	75	106	269

JUNEAU	[405]	58.30	-134.41
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.09	 0.20	 0.89	 4.80	 14.18	 27.26	 45.47	 69.95	 91.53	 98.62	 99.42	 99.94
rcp45 %ile	 0.33	 0.55	 4.26	 16.46	 35.48	 54.42	 72.47	 88.30	 96.43	 99.23	 99.59	 99.96
rcp26 %ile	 0.95	 2.08	 9.76	 28.73	 50.22	 68.30	 82.22	 91.77	 97.14	 99.29	 99.61	 99.95

2010	-17	-16	-15	-14	-13	-12	-11	-11	-9	-8	-8	-6
2020	-30	-29	-28	-26	-25	-24	-23	-22	-20	-19	-18	-16
2030	-42	-42	-40	-38	-36	-35	-34	-33	-31	-28	-27	-23
2040	-56	-55	-52	-49	-47	-46	-44	-42	-39	-35	-32	-18
2050	-70	-68	-64	-61	-58	-56	-53	-50	-46	-38	-32	-4
2060	-83	-81	-76	-72	-68	-65	-62	-58	-51	-39	-30	17
2070	-96	-94	-88	-83	-78	-75	-71	-65	-55	-37	-23	47
2080	-111	-108	-101	-95	-89	-84	-79	-71	-58	-33	-14	82
2090	-126	-123	-115	-107	-100	-94	-87	-77	-60	-27	-2	124
2100	-142	-138	-128	-118	-110	-102	-94	-81	-60	-17	14	174

SITKA	[426]	57.05	-135.34
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.08	 0.17	 0.74	 4.36	 13.17	 26.37	 44.44	 69.35	 91.39	 98.60	 99.42	 99.94
rcp45 %ile	 0.33	 0.58	 4.30	 16.89	 36.20	 55.25	 73.35	 88.80	 96.52	 99.24	 99.59	 99.96
rcp26 %ile	 0.95	 2.15	 9.80	 28.80	 50.50	 68.40	 82.38	 91.85	 97.20	 99.30	 99.61	 99.95

2010	-6	-5	-4	-3	-2	-1	-0	0	2	3	3	5
2020	-8	-7	-5	-4	-3	-2	-1	0	2	4	4	6
2030	-9	-8	-6	-4	-3	-2	-1	1	3	5	6	10
2040	-11	-10	-7	-5	-3	-1	0	2	5	9	12	27
2050	-14	-12	-9	-5	-2	-0	2	5	10	18	23	53
2060	-16	-14	-9	-5	-2	1	4	8	15	28	38	85
2070	-18	-16	-11	-5	-1	3	7	13	22	41	55	127
2080	-22	-19	-12	-6	-0	5	10	18	31	56	76	174
2090	-25	-22	-15	-7	0	6	13	23	40	74	99	228
2100	-31	-27	-17	-7	1	9	18	30	52	96	127	289

YAKUTAT	[445]	59.55	-139.73
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.11	 0.27	 1.13	 5.82	 15.38	 28.80	 46.74	 70.50	 91.68	 98.64	 99.44	 99.94
rcp45 %ile	 0.30	 0.54	 4.10	 16.21	 35.25	 54.10	 72.17	 88.14	 96.40	 99.22	 99.59	 99.96
rcp26 %ile	 0.88	 2.05	 9.61	 27.90	 49.24	 67.01	 81.22	 91.33	 97.04	 99.29	 99.61	 99.95

2010	-11	-11	-10	-8	-7	-7	-6	-5	-4	-3	-2	-0
2020	-20	-19	-17	-15	-14	-13	-12	-11	-9	-7	-7	-5
2030	-26	-25	-23	-21	-20	-19	-18	-16	-14	-12	-10	-6
2040	-34	-33	-30	-28	-26	-24	-22	-20	-17	-13	-10	4
2050	-43	-41	-37	-34	-31	-29	-26	-23	-18	-11	-5	24
2060	-51	-49	-44	-40	-36	-33	-30	-26	-19	-7	3	50
2070	-59	-57	-51	-45	-41	-37	-33	-27	-18	1	15	86
2080	-68	-65	-58	-52	-46	-41	-36	-29	-15	10	30	127
2090	-77	-74	-66	-58	-52	-46	-39	-29	-12	22	47	175
2100	-89	-85	-75	-65	-56	-49	-40	-28	-6	38	69	230

SKAGWAY	[495]	59.45	-135.33
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.09	 0.23	 0.95	 5.18	 14.78	 28.21	 46.41	 70.40	 91.65	 98.64	 99.44	 99.94
rcp45 %ile	 0.31	 0.50	 4.13	 16.42	 35.51	 54.30	 72.29	 88.10	 96.41	 99.23	 99.59	 99.96
rcp26 %ile	 0.95	 2.12	 9.78	 28.40	 49.59	 67.44	 81.48	 91.49	 97.05	 99.29	 99.61	 99.95

2010	-22	-22	-20	-18	-17	-17	-16	-15	-13	-12	-11	-9
2020	-40	-39	-37	-35	-34	-33	-32	-31	-29	-27	-25	-23
2030	-57	-56	-54	-51	-50	-49	-47	-46	-43	-41	-39	-35
2040	-75	-73	-70	-68	-65	-64	-62	-60	-57	-52	-49	-35
2050	-93	-91	-87	-83	-81	-78	-76	-73	-68	-60	-55	-26
2060	-110	-109	-104	-99	-95	-92	-89	-85	-78	-66	-57	-10
2070	-129	-126	-121	-115	-110	-107	-102	-97	-87	-69	-55	14
2080	-148	-145	-138	-131	-126	-121	-115	-108	-95	-70	-50	45
2090	-167	-165	-156	-148	-141	-135	-128	-118	-102	-68	-43	82
2100	-189	-185	-175	-164	-156	-148	-140	-127	-106	-64	-33	126

CORDOVA	[566]	60.56	-145.75
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.36	 0.63	 3.01	 10.50	 23.10	 37.70	 54.50	 74.90	 92.57	 98.77	 99.51	 99.94
rcp45 %ile	 0.38	 0.75	 4.36	 16.00	 33.06	 50.62	 68.51	 85.57	 95.91	 99.17	 99.59	 99.96
rcp26 %ile	 0.65	 1.45	 7.49	 23.43	 43.71	 61.65	 77.10	 89.59	 96.64	 99.21	 99.59	 99.95

2010	-1	-0	2	3	4	5	6	7	9	10	11	13
2020	2	3	5	7	9	10	12	13	15	18	19	22
2030	6	7	10	12	14	16	18	19	22	25	26	31
2040	9	10	14	17	20	22	24	27	30	35	38	51
2050	11	13	18	22	26	28	31	35	41	48	53	82
2060	14	16	22	27	32	35	39	44	51	63	72	119
2070	17	20	26	32	38	42	47	53	63	81	95	166
2080	19	22	30	37	44	49	54	62	76	101	120	218
2090	21	25	33	42	49	56	62	72	89	123	149	277
2100	21	25	36	47	56	64	72	85	106	149	181	343

KODIAK ISLAND	[567]	57.73	-152.51
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.17	 0.35	 1.73	 7.50	 17.88	 31.77	 49.00	 71.37	 91.47	 98.62	 99.48	 99.94
rcp45 %ile	 0.33	 0.66	 4.24	 16.29	 34.87	 53.30	 71.14	 87.60	 96.51	 99.26	 99.60	 99.96
rcp26 %ile	 0.85	 1.85	 8.87	 26.27	 47.13	 64.96	 80.00	 91.04	 97.14	 99.29	 99.60	 99.95

2010	-13	-12	-10	-9	-8	-7	-6	-5	-4	-2	-1	1
2020	-22	-21	-19	-16	-15	-13	-12	-11	-8	-6	-5	-2
2030	-30	-29	-26	-23	-21	-19	-18	-16	-13	-9	-8	-3
2040	-39	-38	-34	-30	-27	-25	-23	-20	-16	-11	-8	5
2050	-49	-47	-42	-37	-33	-30	-27	-23	-17	-9	-3	26
2060	-58	-55	-49	-43	-38	-35	-31	-25	-18	-5	4	53
2070	-67	-64	-57	-50	-44	-39	-34	-27	-16	2	16	89
2080	-77	-73	-65	-56	-49	-43	-37	-28	-14	11	30	131
2090	-87	-83	-74	-63	-55	-48	-40	-29	-11	22	48	181
2100	-100	-95	-83	-70	-60	-51	-41	-28	-4	39	71	237

ANCHORAGE	[1067]	61.24	-149.89
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 1.05	 2.35	 9.80	 25.60	 42.28	 56.90	 70.55	 83.94	 94.71	 99.03	 99.54	 99.95
rcp45 %ile	 0.22	 0.43	 3.58	 14.21	 29.77	 46.06	 62.63	 80.90	 94.57	 99.05	 99.55	 99.95
rcp26 %ile	 0.03	 0.09	 1.50	 10.15	 27.83	 47.09	 66.97	 85.10	 95.85	 99.06	 99.56	 99.95

2010	-7	-6	-4	-2	0	1	3	4	6	9	10	13
2020	-11	-9	-5	-2	0	2	4	7	10	14	16	22
2030	-14	-12	-7	-3	1	3	6	9	14	19	22	30
2040	-18	-16	-10	-4	0	4	7	12	18	26	28	40
2050	-23	-21	-13	-5	0	5	9	16	24	34	38	62
2060	-28	-25	-15	-7	0	6	11	19	29	42	49	94
2070	-35	-30	-19	-8	0	7	13	22	35	52	64	134
2080	-42	-36	-22	-10	-0	8	15	26	42	65	81	179
2090	-49	-42	-26	-11	-0	9	18	30	49	79	102	232
2100	-55	-47	-28	-11	2	12	23	37	61	99	130	292

SELDOVIA	[1070]	59.44	-151.72
Overall	 0.50	 1.00	 5.00	 16.70	 33.30	 50.00	 66.70	 83.30	 95.00	 99.00	 99.50	 99.90
rcp85 %ile	 0.35	 0.62	 2.89	 10.02	 21.91	 36.07	 52.71	 73.46	 92.08	 98.72	 99.51	 99.94
rcp45 %ile	 0.32	 0.63	 4.13	 15.77	 33.26	 51.60	 69.49	 86.37	 96.20	 99.19	 99.59	 99.96
rcp26 %ile	 0.65	 1.56	 7.87	 24.20	 44.68	 62.36	 77.99	 90.20	 96.88	 99.25	 99.59	 99.95

2010	-15	-14	-12	-11	-10	-9	-8	-7	-5	-3	-3	-1
2020	-25	-24	-22	-20	-18	-17	-16	-14	-12	-9	-9	-6
2030	-35	-34	-31	-29	-27	-25	-23	-21	-19	-16	-14	-9
2040	-46	-44	-41	-37	-35	-33	-31	-28	-24	-20	-16	-3
2050	-57	-55	-50	-46	-43	-40	-37	-33	-28	-20	-15	15
2060	-68	-66	-60	-55	-50	-47	-43	-38	-31	-19	-9	38
2070	-79	-76	-70	-63	-58	-54	-49	-43	-32	-14	-0	72
2080	-91	-87	-80	-72	-66	-60	-55	-47	-33	-7	12	111
2090	-103	-99	-90	-81	-74	-67	-60	-50	-32	2	27	157
