"Notes"	"Age Group"	"Age Group Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Gunnison County, CO"	"08051"	19	1846	1029.3 (Unreliable)
	"< 1 year"	"1"	"Jefferson County, CO"	"08059"	399	74612	534.8
	"< 1 year"	"1"	"Kit Carson County, CO"	"08063"	10	1231	812.3 (Unreliable)
	"< 1 year"	"1"	"La Plata County, CO"	"08067"	21	6165	340.6
	"< 1 year"	"1"	"Larimer County, CO"	"08069"	201	39465	509.3
	"< 1 year"	"1"	"Logan County, CO"	"08075"	19	2836	670.0 (Unreliable)
	"< 1 year"	"1"	"Mesa County, CO"	"08077"	121	20757	582.9
	"< 1 year"	"1"	"Moffat County, CO"	"08081"	12	2312	519.0 (Unreliable)
	"< 1 year"	"1"	"Montezuma County, CO"	"08083"	28	3862	725.0
	"< 1 year"	"1"	"Montrose County, CO"	"08085"	37	5866	630.8
	"< 1 year"	"1"	"Morgan County, CO"	"08087"	43	5502	781.5
	"< 1 year"	"1"	"Otero County, CO"	"08089"	24	3087	777.5
	"< 1 year"	"1"	"Park County, CO"	"08093"	11	2001	549.7 (Unreliable)
	"< 1 year"	"1"	"Prowers County, CO"	"08099"	15	2717	552.1 (Unreliable)
	"< 1 year"	"1"	"Pueblo County, CO"	"08101"	154	24286	634.1
	"< 1 year"	"1"	"Rio Grande County, CO"	"08105"	10	2127	470.1 (Unreliable)
	"< 1 year"	"1"	"Routt County, CO"	"08107"	10	2874	347.9 (Unreliable)
	"< 1 year"	"1"	"Saguache County, CO"	"08109"	10	1016	984.3 (Unreliable)
	"< 1 year"	"1"	"Summit County, CO"	"08117"	21	3882	541.0
	"< 1 year"	"1"	"Teller County, CO"	"08119"	16	2573	621.8 (Unreliable)
	"< 1 year"	"1"	"Weld County, CO"	"08123"	288	43214	666.5
	"< 1 year"	"1"	"Yuma County, CO"	"08125"	11	1591	691.4 (Unreliable)
	"< 1 year"	"1"	"Fairfield County, CT"	"09001"	688	139311	493.9
	"< 1 year"	"1"	"Hartford County, CT"	"09003"	867	121946	711.0
	"< 1 year"	"1"	"Litchfield County, CT"	"09005"	96	22201	432.4
	"< 1 year"	"1"	"Middlesex County, CT"	"09007"	94	20579	456.8
	"< 1 year"	"1"	"New Haven County, CT"	"09009"	840	118340	709.8
	"< 1 year"	"1"	"New London County, CT"	"09011"	217	36981	586.8
	"< 1 year"	"1"	"Tolland County, CT"	"09013"	87	16791	518.1
	"< 1 year"	"1"	"Windham County, CT"	"09015"	89	15306	581.5
	"< 1 year"	"1"	"Kent County, DE"	"10001"	204	24721	825.2
	"< 1 year"	"1"	"New Castle County, DE"	"10003"	771	80961	952.3
	"< 1 year"	"1"	"Sussex County, DE"	"10005"	196	25987	754.2
	"< 1 year"	"1"	"District of Columbia, DC"	"11001"	1130	86524	1306.0
	"< 1 year"	"1"	"Alachua County, FL"	"12001"	324	30860	1049.9
	"< 1 year"	"1"	"Baker County, FL"	"12003"	41	4347	943.2
	"< 1 year"	"1"	"Bay County, FL"	"12005"	210	24880	844.1
	"< 1 year"	"1"	"Bradford County, FL"	"12007"	32	4018	796.4
	"< 1 year"	"1"	"Brevard County, FL"	"12009"	395	61908	638.0
	"< 1 year"	"1"	"Broward County, FL"	"12011"	1647	255414	644.8
	"< 1 year"	"1"	"Calhoun County, FL"	"12013"	16	2087	766.7 (Unreliable)
	"< 1 year"	"1"	"Charlotte County, FL"	"12015"	72	13099	549.7
	"< 1 year"	"1"	"Citrus County, FL"	"12017"	79	12274	643.6
	"< 1 year"	"1"	"Clay County, FL"	"12019"	154	24512	628.3
	"< 1 year"	"1"	"Collier County, FL"	"12021"	260	42055	618.2
	"< 1 year"	"1"	"Columbia County, FL"	"12023"	108	9668	1117.1
	"< 1 year"	"1"	"DeSoto County, FL"	"12027"	34	5650	601.8
	"< 1 year"	"1"	"Dixie County, FL"	"12029"	12	2178	551.0 (Unreliable)
	"< 1 year"	"1"	"Duval County, FL"	"12031"	1519	142999	1062.2
	"< 1 year"	"1"	"Escambia County, FL"	"12033"	479	45516	1052.4
	"< 1 year"	"1"	"Flagler County, FL"	"12035"	47	8486	553.9
	"< 1 year"	"1"	"Franklin County, FL"	"12037"	10	1402	713.3 (Unreliable)
	"< 1 year"	"1"	"Gadsden County, FL"	"12039"	113	7964	1418.9
	"< 1 year"	"1"	"Gilchrist County, FL"	"12041"	15	2187	685.9 (Unreliable)
	"< 1 year"	"1"	"Gulf County, FL"	"12045"	16	1558	1027.0 (Unreliable)
	"< 1 year"	"1"	"Hamilton County, FL"	"12047"	26	1983	1311.1
	"< 1 year"	"1"	"Hardee County, FL"	"12049"	41	5348	766.6
	"< 1 year"	"1"	"Hendry County, FL"	"12051"	58	7675	755.7
	"< 1 year"	"1"	"Hernando County, FL"	"12053"	120	17398	689.7
	"< 1 year"	"1"	"Highlands County, FL"	"12055"	94	11632	808.1
	"< 1 year"	"1"	"Hillsborough County, FL"	"12057"	1634	183960	888.2
	"< 1 year"	"1"	"Holmes County, FL"	"12059"	25	2817	887.5
	"< 1 year"	"1"	"Indian River County, FL"	"12061"	98	14200	690.1
	"< 1 year"	"1"	"Jackson County, FL"	"12063"	48	6468	742.1
	"< 1 year"	"1"	"Jefferson County, FL"	"12065"	21	1973	1064.4
	"< 1 year"	"1"	"Lake County, FL"	"12069"	231	34375	672.0
	"< 1 year"	"1"	"Lee County, FL"	"12071"	456	72753	626.8
	"< 1 year"	"1"	"Leon County, FL"	"12073"	360	34652	1038.9
	"< 1 year"	"1"	"Levy County, FL"	"12075"	45	5710	788.1
	"< 1 year"	"1"	"Madison County, FL"	"12079"	30	2937	1021.5
	"< 1 year"	"1"	"Manatee County, FL"	"12081"	315	42337	744.0
	"< 1 year"	"1"	"Marion County, FL"	"12083"	345	38634	893.0
	"< 1 year"	"1"	"Martin County, FL"	"12085"	98	13599	720.6
	"< 1 year"	"1"	"Miami-Dade County, FL"	"12086"	2195	372247	589.7
	"< 1 year"	"1"	"Monroe County, FL"	"12087"	44	8201	536.5
	"< 1 year"	"1"	"Nassau County, FL"	"12089"	65	9150	710.4
	"< 1 year"	"1"	"Okaloosa County, FL"	"12091"	221	28813	767.0
	"< 1 year"	"1"	"Okeechobee County, FL"	"12093"	40	6512	614.3
	"< 1 year"	"1"	"Orange County, FL"	"12095"	1413	169337	834.4
	"< 1 year"	"1"	"Osceola County, FL"	"12097"	273	36451	749.0
	"< 1 year"	"1"	"Palm Beach County, FL"	"12099"	1127	164618	684.6
	"< 1 year"	"1"	"Pasco County, FL"	"12101"	338	52594	642.7
	"< 1 year"	"1"	"Pinellas County, FL"	"12103"	867	106709	812.5
	"< 1 year"	"1"	"Polk County, FL"	"12105"	716	87132	821.7
	"< 1 year"	"1"	"Putnam County, FL"	"12107"	116	11143	1041.0
	"< 1 year"	"1"	"St. Johns County, FL"	"12109"	107	18943	564.9
	"< 1 year"	"1"	"St. Lucie County, FL"	"12111"	217	33097	655.6
	"< 1 year"	"1"	"Santa Rosa County, FL"	"12113"	120	20234	593.1
	"< 1 year"	"1"	"Sarasota County, FL"	"12115"	168	34677	484.5
	"< 1 year"	"1"	"Seminole County, FL"	"12117"	347	52709	658.3
	"< 1 year"	"1"	"Sumter County, FL"	"12119"	47	5479	857.8
	"< 1 year"	"1"	"Suwannee County, FL"	"12121"	65	6032	1077.6
	"< 1 year"	"1"	"Taylor County, FL"	"12123"	33	3330	991.0
	"< 1 year"	"1"	"Union County, FL"	"12125"	10	1894	528.0 (Unreliable)
	"< 1 year"	"1"	"Volusia County, FL"	"12127"	389	56872	684.0
	"< 1 year"	"1"	"Wakulla County, FL"	"12129"	33	3573	923.6
	"< 1 year"	"1"	"Walton County, FL"	"12131"	45	7177	627.0
	"< 1 year"	"1"	"Washington County, FL"	"12133"	23	3070	749.2
	"< 1 year"	"1"	"Appling County, GA"	"13001"	38	3148	1207.1
	"< 1 year"	"1"	"Atkinson County, GA"	"13003"	17	1827	930.5 (Unreliable)
	"< 1 year"	"1"	"Bacon County, GA"	"13005"	16	1886	848.4 (Unreliable)
	"< 1 year"	"1"	"Baldwin County, GA"	"13009"	65	6213	1046.2
	"< 1 year"	"1"	"Banks County, GA"	"13011"	17	2814	604.1 (Unreliable)
	"< 1 year"	"1"	"Barrow County, GA"	"13013"	69	11837	582.9
	"< 1 year"	"1"	"Bartow County, GA"	"13015"	118	16433	718.1
	"< 1 year"	"1"	"Ben Hill County, GA"	"13017"	38	3372	1126.9
	"< 1 year"	"1"	"Berrien County, GA"	"13019"	28	3006	931.5
	"< 1 year"	"1"	"Bibb County, GA"	"13021"	409	27702	1476.4
	"< 1 year"	"1"	"Bleckley County, GA"	"13023"	17	1762	964.8 (Unreliable)
	"< 1 year"	"1"	"Brantley County, GA"	"13025"	19	2677	709.7 (Unreliable)
	"< 1 year"	"1"	"Brooks County, GA"	"13027"	22	2696	816.0
	"< 1 year"	"1"	"Bryan County, GA"	"13029"	25	4428	564.6
	"< 1 year"	"1"	"Bulloch County, GA"	"13031"	93	9270	1003.2
	"< 1 year"	"1"	"Burke County, GA"	"13033"	43	4540	947.1
	"< 1 year"	"1"	"Butts County, GA"	"13035"	35	3294	1062.5
