"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lake and Peninsula Borough, AK"	"02164"	168	20017	839.3
	"Matanuska-Susitna Borough, AK"	"02170"	4330	875632	494.5
	"Nome Census Area, AK"	"02180"	772	111144	694.6
	"North Slope Borough, AK"	"02185"	475	98441	482.5
	"Northwest Arctic Borough, AK"	"02188"	507	88310	574.1
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	354	68219	518.9
	"Sitka Borough, AK"	"02220"	654	106463	614.3
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	199	39285	506.6
	"Southeast Fairbanks Census Area, AK"	"02240"	427	76694	556.8
	"Valdez-Cordova Census Area, AK"	"02261"	612	118333	517.2
	"Wade Hampton Census Area, AK"	"02270"	546	86939	628.0
	"Wrangell-Petersburg Census Area, AK"	"02280"	583	76331	763.8
	"Yakutat Borough, AK"	"02282"	44	8354	526.7
	"Yukon-Koyukuk Census Area, AK"	"02290"	594	79938	743.1
	"Apache County, AZ"	"04001"	6182	830561	744.3
	"Cochise County, AZ"	"04003"	13461	1488485	904.3
	"Coconino County, AZ"	"04005"	7444	1505130	494.6
	"Gila County, AZ"	"04007"	7831	625880	1251.2
	"Graham County, AZ"	"04009"	3330	412260	807.7
	"Greenlee County, AZ"	"04011"	702	97649	718.9
	"La Paz County, AZ"	"04012"	2631	240972	1091.8
	"Maricopa County, AZ"	"04013"	289271	41540622	696.4
	"Mohave County, AZ"	"04015"	27900	2169665	1285.9
	"Navajo County, AZ"	"04017"	9365	1235226	758.2
	"Pima County, AZ"	"04019"	93981	10934151	859.5
	"Pinal County, AZ"	"04021"	21850	3039433	718.9
	"Santa Cruz County, AZ"	"04023"	2859	510811	559.7
	"Yavapai County, AZ"	"04025"	26357	2292065	1149.9
	"Yuma County, AZ"	"04027"	13997	2115477	661.6
	"Arkansas County, AR"	"05001"	3177	239208	1328.1
	"Ashley County, AR"	"05003"	3154	276085	1142.4
	"Baxter County, AR"	"05005"	7816	478327	1634.0
	"Benton County, AR"	"05007"	16020	2211733	724.3
	"Boone County, AR"	"05009"	4731	424572	1114.3
	"Bradley County, AR"	"05011"	1956	144471	1353.9
	"Calhoun County, AR"	"05013"	745	67343	1106.3
	"Carroll County, AR"	"05015"	3170	315034	1006.2
	"Chicot County, AR"	"05017"	2038	154833	1316.3
	"Clark County, AR"	"05019"	3000	278052	1078.9
	"Clay County, AR"	"05021"	2834	201765	1404.6
	"Cleburne County, AR"	"05023"	3791	299872	1264.2
	"Cleveland County, AR"	"05025"	1109	104566	1060.6
	"Columbia County, AR"	"05027"	3666	301108	1217.5
	"Conway County, AR"	"05029"	2819	248302	1135.3
	"Craighead County, AR"	"05031"	9645	1055599	913.7
	"Crawford County, AR"	"05033"	6243	689513	905.4
	"Crittenden County, AR"	"05035"	6005	607027	989.2
	"Cross County, AR"	"05037"	2526	224902	1123.2
	"Dallas County, AR"	"05039"	1455	103812	1401.6
	"Desha County, AR"	"05041"	2036	169682	1199.9
	"Drew County, AR"	"05043"	2181	222951	978.2
	"Faulkner County, AR"	"05045"	8305	1180206	703.7
	"Franklin County, AR"	"05047"	2436	216064	1127.4
	"Fulton County, AR"	"05049"	1965	143942	1365.1
	"Garland County, AR"	"05051"	15231	1103900	1379.7
	"Grant County, AR"	"05053"	1991	205269	969.9
	"Greene County, AR"	"05055"	4984	474110	1051.2
	"Hempstead County, AR"	"05057"	3038	276348	1099.3
	"Hot Spring County, AR"	"05059"	4106	378793	1084.0
	"Howard County, AR"	"05061"	2089	167858	1244.5
	"Independence County, AR"	"05063"	4627	421747	1097.1
	"Izard County, AR"	"05065"	2279	161650	1409.8
	"Jackson County, AR"	"05067"	2864	217558	1316.4
	"Jefferson County, AR"	"05069"	10376	971061	1068.5
	"Johnson County, AR"	"05071"	2969	289172	1026.7
	"Lafayette County, AR"	"05073"	1326	97084	1365.8
	"Lawrence County, AR"	"05075"	2753	210393	1308.5
	"Lee County, AR"	"05077"	1621	137980	1174.8
	"Lincoln County, AR"	"05079"	1561	172629	904.3
	"Little River County, AR"	"05081"	1946	159343	1221.3
	"Logan County, AR"	"05083"	3314	270526	1225.0
	"Lonoke County, AR"	"05085"	5977	717938	832.5
	"Madison County, AR"	"05087"	1823	177491	1027.1
	"Marion County, AR"	"05089"	2328	197286	1180.0
	"Miller County, AR"	"05091"	4774	502863	949.4
	"Mississippi County, AR"	"05093"	6721	582924	1153.0
	"Monroe County, AR"	"05095"	1564	110840	1411.0
	"Montgomery County, AR"	"05097"	1378	112101	1229.2
	"Nevada County, AR"	"05099"	1436	113818	1261.7
	"Newton County, AR"	"05101"	1099	101700	1080.6
	"Ouachita County, AR"	"05103"	4522	326512	1384.9
	"Perry County, AR"	"05105"	1401	124206	1128.0
	"Phillips County, AR"	"05107"	3792	288953	1312.3
	"Pike County, AR"	"05109"	1643	135228	1215.0
	"Poinsett County, AR"	"05111"	3863	300655	1284.9
	"Polk County, AR"	"05113"	3095	243631	1270.4
	"Pope County, AR"	"05115"	6181	691109	894.4
	"Prairie County, AR"	"05117"	1386	109715	1263.3
	"Pulaski County, AR"	"05119"	39818	4433537	898.1
	"Randolph County, AR"	"05121"	2630	217185	1210.9
	"St. Francis County, AR"	"05123"	3699	345085	1071.9
	"Saline County, AR"	"05125"	9433	1123027	840.0
	"Scott County, AR"	"05127"	1508	132720	1136.2
	"Searcy County, AR"	"05129"	1241	98105	1265.0
	"Sebastian County, AR"	"05131"	13691	1436440	953.1
	"Sevier County, AR"	"05133"	1940	194045	999.8
	"Sharp County, AR"	"05135"	3048	207830	1466.6
	"Stone County, AR"	"05137"	1737	142958	1215.0
	"Union County, AR"	"05139"	6847	523146	1308.8
	"Van Buren County, AR"	"05141"	2689	201204	1336.5
	"Washington County, AR"	"05143"	14738	2159314	682.5
	"White County, AR"	"05145"	8640	856249	1009.1
	"Woodruff County, AR"	"05147"	1472	96663	1522.8
	"Yell County, AR"	"05149"	2906	257215	1129.8
	"Alameda County, CA"	"06001"	113238	17530091	646.0
	"Alpine County, CA"	"06003"	96	14685	653.7
	"Amador County, CA"	"06005"	4742	446381	1062.3
	"Butte County, CA"	"06007"	26628	2552168	1043.3
	"Calaveras County, CA"	"06009"	5045	527874	955.7
	"Colusa County, CA"	"06011"	1681	241761	695.3
	"Contra Costa County, CA"	"06013"	82331	11935826	689.8
	"Del Norte County, CA"	"06015"	3209	335983	955.1
	"El Dorado County, CA"	"06017"	14855	2047093	725.7
	"Fresno County, CA"	"06019"	70053	10353646	676.6
	"Glenn County, CA"	"06021"	2818	327085	861.5
	"Humboldt County, CA"	"06023"	14864	1566565	948.8
	"Imperial County, CA"	"06025"	10906	1869674	583.3
	"Inyo County, CA"	"06027"	2555	220277	1159.9
	"Kern County, CA"	"06029"	61887	8974887	689.6
	"Kings County, CA"	"06031"	9219	1707673	539.9
	"Lake County, CA"	"06033"	9339	748427	1247.8
	"Lassen County, CA"	"06035"	2674	413016	647.4
	"Los Angeles County, CA"	"06037"	710731	116414822	610.5
	"Madera County, CA"	"06039"	11176	1647246	678.5
	"Marin County, CA"	"06041"	21729	2963175	733.3
	"Mariposa County, CA"	"06043"	2061	213421	965.7
	"Mendocino County, CA"	"06045"	9844	1047733	939.6
	"Merced County, CA"	"06047"	17265	2825435	611.1
	"Modoc County, CA"	"06049"	1254	114366	1096.5
	"Mono County, CA"	"06051"	556	161749	343.7
	"Monterey County, CA"	"06053"	28132	4873232	577.3
	"Napa County, CA"	"06055"	14781	1563653	945.3
	"Nevada County, CA"	"06057"	10980	1151560	953.5
	"Orange County, CA"	"06059"	203596	35085958	580.3
	"Placer County, CA"	"06061"	27518	3616945	760.8
	"Plumas County, CA"	"06063"	2638	248413	1061.9
	"Riverside County, CA"	"06065"	160799	22450694	716.2
	"Sacramento County, CA"	"06067"	115738	16008324	723.0
	"San Benito County, CA"	"06069"	3178	651263	488.0
	"San Bernardino County, CA"	"06071"	142248	22659867	627.8
	"San Diego County, CA"	"06073"	234237	35258200	664.3
	"San Francisco County, CA"	"06075"	72529	9341170	776.4
	"San Joaquin County, CA"	"06077"	54784	7608557	720.0
	"San Luis Obispo County, CA"	"06079"	24923	3092245	806.0
	"San Mateo County, CA"	"06081"	55860	8408167	664.4
	"Santa Barbara County, CA"	"06083"	34661	4906206	706.5
	"Santa Clara County, CA"	"06085"	105954	20404512	519.3
	"Santa Cruz County, CA"	"06087"	19658	3060430	642.3
	"Shasta County, CA"	"06089"	22731	2069996	1098.1
	"Sierra County, CA"	"06091"	460	40959	1123.1
	"Siskiyou County, CA"	"06093"	6302	533340	1181.6
	"Solano County, CA"	"06095"	32181	4869776	660.8
	"Sonoma County, CA"	"06097"	45611	5610854	812.9
	"Stanislaus County, CA"	"06099"	43080	5854332	735.9
	"Sutter County, CA"	"06101"	8384	1046394	801.2
	"Tehama County, CA"	"06103"	7318	717058	1020.6
	"Trinity County, CA"	"06105"	1783	160290	1112.4
	"Tulare County, CA"	"06107"	32526	4825917	674.0
	"Tuolumne County, CA"	"06109"	7122	669913	1063.1
	"Ventura County, CA"	"06111"	58429	9462004	617.5
	"Yolo County, CA"	"06113"	13548	2225801	608.7
	"Yuba County, CA"	"06115"	6388	791777	806.8
	"Adams County, CO"	"08001"	26680	4763413	560.1
	"Alamosa County, CO"	"08003"	1343	181847	738.5
	"Arapahoe County, CO"	"08005"	35732	6299968	567.2
	"Archuleta County, CO"	"08007"	796	135300	588.3
	"Baca County, CO"	"08009"	761	49224	1546.0
	"Bent County, CO"	"08011"	773	72938	1059.8
	"Boulder County, CO"	"08013"	17573	3469975	506.4
	"Broomfield County, CO"	"08014"	1914	399099	479.6
	"Chaffee County, CO"	"08015"	1804	204371	882.7
	"Cheyenne County, CO"	"08017"	265	24060	1101.4
	"Clear Creek County, CO"	"08019"	563	110626	508.9
	"Conejos County, CO"	"08021"	875	99513	879.3
	"Costilla County, CO"	"08023"	433	43060	1005.6
	"Crowley County, CO"	"08025"	520	68463	759.5
	"Custer County, CO"	"08027"	328	46759	701.5
	"Delta County, CO"	"08029"	3966	352519	1125.0
	"Denver County, CO"	"08031"	52958	6763465	783.0
	"Dolores County, CO"	"08033"	224	23083	970.4
	"Douglas County, CO"	"08035"	7622	2805962	271.6
	"Eagle County, CO"	"08037"	1011	561698	180.0
	"Elbert County, CO"	"08039"	1148	261317	439.3
	"El Paso County, CO"	"08041"	39554	6771275	584.1
	"Fremont County, CO"	"08043"	5925	560292	1057.5
	"Garfield County, CO"	"08045"	3323	598412	555.3
	"Gilpin County, CO"	"08047"	289	58918	490.5
	"Grand County, CO"	"08049"	693	163704	423.3
	"Gunnison County, CO"	"08051"	748	175027	427.4
	"Hinsdale County, CO"	"08053"	36	9726	370.1
	"Huerfano County, CO"	"08055"	1200	87499	1371.4
	"Jackson County, CO"	"08057"	136	17660	770.1
	"Jefferson County, CO"	"08059"	41280	6317914	653.4
	"Kiowa County, CO"	"08061"	234	17789	1315.4
	"Kit Carson County, CO"	"08063"	912	97409	936.3
	"Lake County, CO"	"08065"	471	90071	522.9
	"La Plata County, CO"	"08067"	3159	568974	555.2
	"Larimer County, CO"	"08069"	19041	3294166	578.0
	"Las Animas County, CO"	"08071"	2090	186027	1123.5
	"Lincoln County, CO"	"08073"	645	68703	938.8
	"Logan County, CO"	"08075"	2365	260263	908.7
	"Mesa County, CO"	"08077"	14739	1567712	940.2
	"Mineral County, CO"	"08079"	71	9545	743.8
	"Moffat County, CO"	"08081"	1128	159428	707.5
	"Montezuma County, CO"	"08083"	3045	294672	1033.4
	"Montrose County, CO"	"08085"	4183	446582	936.7
	"Morgan County, CO"	"08087"	2921	331549	881.0
	"Otero County, CO"	"08089"	2745	232906	1178.6
	"Ouray County, CO"	"08091"	273	48537	562.5
	"Park County, CO"	"08093"	805	189256	425.3
	"Phillips County, CO"	"08095"	614	53253	1153.0
	"Pitkin County, CO"	"08097"	492	187828	261.9
	"Prowers County, CO"	"08099"	1554	161861	960.1
	"Pueblo County, CO"	"08101"	17964	1799397	998.3
	"Rio Blanco County, CO"	"08103"	561	74218	755.9
	"Rio Grande County, CO"	"08105"	1507	145539	1035.5
	"Routt County, CO"	"08107"	931	257741	361.2
	"Saguache County, CO"	"08109"	523	73571	710.9
	"San Juan County, CO"	"08111"	35	7486	467.5
	"San Miguel County, CO"	"08113"	196	84653	231.5
	"Sedgwick County, CO"	"08115"	467	30604	1525.9
	"Summit County, CO"	"08117"	542	307985	176.0
	"Teller County, CO"	"08119"	1299	262923	494.1
	"Washington County, CO"	"08121"	607	58756	1033.1
	"Weld County, CO"	"08123"	14957	2609735	573.1
	"Yuma County, CO"	"08125"	1225	118191	1036.5
	"Fairfield County, CT"	"09001"	80725	10757866	750.4
	"Hartford County, CT"	"09003"	94535	10505529	899.9
	"Litchfield County, CT"	"09005"	20007	2248215	889.9
	"Middlesex County, CT"	"09007"	16194	1932956	837.8
	"New Haven County, CT"	"09009"	91729	10125913	905.9
	"New London County, CT"	"09011"	26167	3209395	815.3
	"Tolland County, CT"	"09013"	10817	1747433	619.0
	"Windham County, CT"	"09015"	11740	1369842	857.0
	"Kent County, DE"	"10001"	14471	1715881	843.4
	"New Castle County, DE"	"10003"	49547	6236648	794.4
	"Sussex County, DE"	"10005"	22574	2106440	1071.7
	"District of Columbia, DC"	"11001"	65567	6912598	948.5
	"Alachua County, FL"	"12001"	19156	2791851	686.1
	"Baker County, FL"	"12003"	2483	295028	841.6
	"Bay County, FL"	"12005"	17893	1909651	937.0
	"Bradford County, FL"	"12007"	3242	330991	979.5
	"Brevard County, FL"	"12009"	66681	6186418	1077.9
	"Broward County, FL"	"12011"	185317	20415196	907.7
	"Calhoun County, FL"	"12013"	1762	164081	1073.9
	"Charlotte County, FL"	"12015"	26261	1841468	1426.1
	"Citrus County, FL"	"12017"	25868	1572792	1644.7
	"Clay County, FL"	"12019"	14927	1994276	748.5
	"Collier County, FL"	"12021"	30551	3508699	870.7
	"Columbia County, FL"	"12023"	7979	744991	1071.0
	"DeSoto County, FL"	"12027"	3496	402105	869.4
	"Dixie County, FL"	"12029"	2130	181426	1174.0
	"Duval County, FL"	"12031"	83643	9874559	847.1
	"Escambia County, FL"	"12033"	34948	3566153	980.0
	"Flagler County, FL"	"12035"	9566	878144	1089.3
	"Franklin County, FL"	"12037"	1397	129446	1079.2
	"Gadsden County, FL"	"12039"	5423	545555	994.0
	"Gilchrist County, FL"	"12041"	1882	186765	1007.7
	"Glades County, FL"	"12043"	1259	142020	886.5
	"Gulf County, FL"	"12045"	1846	181716	1015.9
	"Hamilton County, FL"	"12047"	1533	169323	905.4
	"Hardee County, FL"	"12049"	2454	324619	756.0
	"Hendry County, FL"	"12051"	3386	450263	752.0
	"Hernando County, FL"	"12053"	27173	1832899	1482.5
	"Highlands County, FL"	"12055"	16029	1126176	1423.3
	"Hillsborough County, FL"	"12057"	106591	13392525	795.9
	"Holmes County, FL"	"12059"	2738	232993	1175.1
	"Indian River County, FL"	"12061"	19563	1508595	1296.8
	"Jackson County, FL"	"12063"	6280	573040	1095.9
	"Jefferson County, FL"	"12065"	1812	167384	1082.5
	"Lafayette County, FL"	"12067"	802	93601	856.8
	"Lake County, FL"	"12069"	37553	3090623	1215.1
	"Lee County, FL"	"12071"	67006	6417346	1044.1
	"Leon County, FL"	"12073"	18518	3077729	601.7
	"Levy County, FL"	"12075"	5533	453961	1218.8
	"Liberty County, FL"	"12077"	720	92168	781.2
	"Madison County, FL"	"12079"	2542	228352	1113.2
	"Manatee County, FL"	"12081"	40132	3557805	1128.0
	"Marion County, FL"	"12083"	45871	3559136	1288.8
	"Martin County, FL"	"12085"	19928	1655282	1203.9
	"Miami-Dade County, FL"	"12086"	220227	28376081	776.1
	"Monroe County, FL"	"12087"	8340	914433	912.0
	"Nassau County, FL"	"12089"	7026	781325	899.2
	"Okaloosa County, FL"	"12091"	17009	2143048	793.7
	"Okeechobee County, FL"	"12093"	4785	458933	1042.6
	"Orange County, FL"	"12095"	78107	12280109	636.0
	"Osceola County, FL"	"12097"	17794	2650807	671.3
	"Palm Beach County, FL"	"12099"	160625	14842132	1082.2
	"Pasco County, FL"	"12101"	64674	4898071	1320.4
	"Pinellas County, FL"	"12103"	143540	11062946	1297.5
	"Polk County, FL"	"12105"	65837	6494358	1013.8
	"Putnam County, FL"	"12107"	10910	875048	1246.8
	"St. Johns County, FL"	"12109"	15221	1864342	816.4
	"St. Lucie County, FL"	"12111"	29636	2820131	1050.9
	"Santa Rosa County, FL"	"12113"	12283	1630943	753.1
	"Sarasota County, FL"	"12115"	58208	4277192	1360.9
	"Seminole County, FL"	"12117"	32574	4758873	684.5
	"Sumter County, FL"	"12119"	9989	844852	1182.3
	"Suwannee County, FL"	"12121"	5611	457455	1226.6
	"Taylor County, FL"	"12123"	2607	248192	1050.4
	"Union County, FL"	"12125"	2102	174138	1207.1
	"Volusia County, FL"	"12127"	71555	5700608	1255.2
	"Wakulla County, FL"	"12129"	2462	317790	774.7
	"Walton County, FL"	"12131"	5661	575919	983.0
	"Washington County, FL"	"12133"	3081	270790	1137.8
	"Appling County, GA"	"13001"	2249	213163	1055.1
	"Atkinson County, GA"	"13003"	854	96314	886.7
	"Bacon County, GA"	"13005"	1476	126345	1168.2
	"Baker County, GA"	"13007"	438	46528	941.4
	"Baldwin County, GA"	"13009"	4726	551322	857.2
	"Banks County, GA"	"13011"	1446	196920	734.3
	"Barrow County, GA"	"13013"	4951	685945	721.8
	"Bartow County, GA"	"13015"	8326	1064212	782.4
	"Ben Hill County, GA"	"13017"	2478	209071	1185.2
	"Berrien County, GA"	"13019"	2186	211057	1035.7
	"Bibb County, GA"	"13021"	19971	1851358	1078.7
	"Bleckley County, GA"	"13023"	1545	147380	1048.3
	"Brantley County, GA"	"13025"	1768	196541	899.6
	"Brooks County, GA"	"13027"	2292	195402	1173.0
	"Bryan County, GA"	"13029"	2179	317544	686.2
	"Bulloch County, GA"	"13031"	5098	744508	684.7
	"Burke County, GA"	"13033"	2786	273469	1018.8
	"Butts County, GA"	"13035"	2528	261913	965.2
	"Calhoun County, GA"	"13037"	839	76413	1098.0
	"Camden County, GA"	"13039"	2863	560626	510.7
	"Candler County, GA"	"13043"	1525	121998	1250.0
	"Carroll County, GA"	"13045"	9939	1203267	826.0
	"Catoosa County, GA"	"13047"	5757	707008	814.3
	"Charlton County, GA"	"13049"	1122	138005	813.0
	"Chatham County, GA"	"13051"	27058	2936142	921.5
	"Chattahoochee County, GA"	"13053"	405	167025	242.5
	"Chattooga County, GA"	"13055"	3418	308940	1106.4
	"Cherokee County, GA"	"13057"	11279	2140642	526.9
	"Clarke County, GA"	"13059"	7677	1311194	585.5
	"Clay County, GA"	"13061"	611	39241	1557.0
	"Clayton County, GA"	"13063"	16242	3025592	536.8
	"Clinch County, GA"	"13065"	908	82519	1100.4
	"Cobb County, GA"	"13067"	40522	7757411	522.4
	"Coffee County, GA"	"13069"	4072	478021	851.8
	"Colquitt County, GA"	"13071"	5268	520548	1012.0
	"Columbia County, GA"	"13073"	7441	1262621	589.3
	"Cook County, GA"	"13075"	2141	196962	1087.0
	"Coweta County, GA"	"13077"	8686	1286716	675.1
	"Crawford County, GA"	"13079"	1252	152310	822.0
	"Crisp County, GA"	"13081"	2941	271253	1084.2
	"Dade County, GA"	"13083"	1857	192478	964.8
	"Dawson County, GA"	"13085"	1670	231221	722.3
	"Decatur County, GA"	"13087"	3653	334762	1091.2
	"DeKalb County, GA"	"13089"	47692	8092375	589.3
	"Dodge County, GA"	"13091"	2644	245676	1076.2
	"Dooly County, GA"	"13093"	1388	157345	882.1
	"Dougherty County, GA"	"13095"	10352	1140414	907.7
	"Douglas County, GA"	"13097"	8493	1338877	634.3
	"Early County, GA"	"13099"	1749	140894	1241.4
	"Echols County, GA"	"13101"	272	46399	586.2
	"Effingham County, GA"	"13103"	3472	538196	645.1
	"Elbert County, GA"	"13105"	2918	246108	1185.7
	"Emanuel County, GA"	"13107"	3118	263462	1183.5
	"Evans County, GA"	"13109"	1382	129988	1063.2
	"Fannin County, GA"	"13111"	3202	262867	1218.1
	"Fayette County, GA"	"13113"	7263	1195776	607.4
	"Floyd County, GA"	"13115"	11846	1124982	1053.0
	"Forsyth County, GA"	"13117"	7711	1624118	474.8
	"Franklin County, GA"	"13119"	2893	256940	1125.9
	"Fulton County, GA"	"13121"	73269	10128890	723.4
	"Gilmer County, GA"	"13123"	2852	313858	908.7
	"Glascock County, GA"	"13125"	473	33488	1412.4
	"Glynn County, GA"	"13127"	8856	875383	1011.7
	"Gordon County, GA"	"13129"	5105	598595	852.8
	"Grady County, GA"	"13131"	2990	289724	1032.0
	"Greene County, GA"	"13133"	2019	183438	1100.6
	"Gwinnett County, GA"	"13135"	33997	8366579	406.3
	"Habersham County, GA"	"13137"	4158	472149	880.7
	"Hall County, GA"	"13139"	13213	1915794	689.7
	"Hancock County, GA"	"13141"	1227	117303	1046.0
	"Haralson County, GA"	"13143"	3646	329612	1106.1
	"Harris County, GA"	"13145"	2612	332447	785.7
	"Hart County, GA"	"13147"	3323	288947	1150.0
	"Heard County, GA"	"13149"	1264	136500	926.0
	"Henry County, GA"	"13151"	11121	1951847	569.8
	"Houston County, GA"	"13153"	10296	1492733	689.7
	"Irwin County, GA"	"13155"	1284	116632	1100.9
	"Jackson County, GA"	"13157"	5220	606981	860.0
	"Jasper County, GA"	"13159"	1352	152699	885.4
	"Jeff Davis County, GA"	"13161"	1756	164423	1068.0
	"Jefferson County, GA"	"13163"	2439	204392	1193.3
	"Jenkins County, GA"	"13165"	1155	101717	1135.5
	"Johnson County, GA"	"13167"	1222	113742	1074.4
	"Jones County, GA"	"13169"	2426	317258	764.7
	"Lamar County, GA"	"13171"	2102	203422	1033.3
	"Lanier County, GA"	"13173"	866	99696	868.6
	"Laurens County, GA"	"13175"	5860	559724	1046.9
	"Lee County, GA"	"13177"	1731	316774	546.4
	"Liberty County, GA"	"13179"	3396	755769	449.3
	"Lincoln County, GA"	"13181"	1113	98910	1125.3
	"Long County, GA"	"13183"	800	141266	566.3
	"Lowndes County, GA"	"13185"	8900	1182960	752.4
	"Lumpkin County, GA"	"13187"	2260	306070	738.4
	"McDuffie County, GA"	"13189"	2887	257329	1121.9
	"McIntosh County, GA"	"13191"	1306	150136	869.9
	"Macon County, GA"	"13193"	1852	172217	1075.4
	"Madison County, GA"	"13195"	2982	323405	922.1
	"Marion County, GA"	"13197"	944	93866	1005.7
	"Meriwether County, GA"	"13199"	3045	270321	1126.4
	"Miller County, GA"	"13201"	998	74569	1338.4
	"Mitchell County, GA"	"13205"	2846	284077	1001.8
	"Monroe County, GA"	"13207"	2570	288549	890.7
	"Montgomery County, GA"	"13209"	939	106063	885.3
	"Morgan County, GA"	"13211"	1820	201563	902.9
	"Murray County, GA"	"13213"	3447	465733	740.1
	"Muscogee County, GA"	"13215"	21492	2233589	962.2
	"Newton County, GA"	"13217"	7080	985330	718.5
	"Oconee County, GA"	"13219"	2090	345718	604.5
	"Oglethorpe County, GA"	"13221"	1394	164418	847.8
	"Paulding County, GA"	"13223"	6529	1336792	488.4
	"Peach County, GA"	"13225"	2740	303964	901.4
